Date,Open,High,Low,Close,Adj Close,Volume
2019-12-31,10.570000,10.570000,10.570000,10.570000,10.388700,0
2020-01-02,10.580000,10.580000,10.580000,10.580000,10.398529,0
2020-01-03,10.590000,10.590000,10.590000,10.590000,10.408358,0
2020-01-06,10.590000,10.590000,10.590000,10.590000,10.408358,0
2020-01-07,10.590000,10.590000,10.590000,10.590000,10.408358,0
2020-01-08,10.580000,10.580000,10.580000,10.580000,10.398529,0
2020-01-09,10.580000,10.580000,10.580000,10.580000,10.398529,0
2020-01-10,10.580000,10.580000,10.580000,10.580000,10.398529,0
2020-01-13,10.580000,10.580000,10.580000,10.580000,10.398529,0
2020-01-14,10.580000,10.580000,10.580000,10.580000,10.398529,0
2020-01-15,10.590000,10.590000,10.590000,10.590000,10.408358,0
2020-01-16,10.590000,10.590000,10.590000,10.590000,10.408358,0
2020-01-17,10.580000,10.580000,10.580000,10.580000,10.398529,0
2020-01-21,10.600000,10.600000,10.600000,10.600000,10.418186,0
2020-01-22,10.600000,10.600000,10.600000,10.600000,10.418186,0
2020-01-23,10.600000,10.600000,10.600000,10.600000,10.418186,0
2020-01-24,10.610000,10.610000,10.610000,10.610000,10.428013,0
2020-01-27,10.630000,10.630000,10.630000,10.630000,10.447670,0
2020-01-28,10.620000,10.620000,10.620000,10.620000,10.437842,0
2020-01-29,10.630000,10.630000,10.630000,10.630000,10.447670,0
2020-01-30,10.630000,10.630000,10.630000,10.630000,10.447670,0
2020-01-31,10.650000,10.650000,10.650000,10.650000,10.486069,0
2020-02-03,10.650000,10.650000,10.650000,10.650000,10.486069,0
2020-02-04,10.630000,10.630000,10.630000,10.630000,10.466377,0
2020-02-05,10.620000,10.620000,10.620000,10.620000,10.456532,0
2020-02-06,10.620000,10.620000,10.620000,10.620000,10.456532,0
2020-02-07,10.630000,10.630000,10.630000,10.630000,10.466377,0
2020-02-10,10.640000,10.640000,10.640000,10.640000,10.476227,0
2020-02-11,10.630000,10.630000,10.630000,10.630000,10.466377,0
2020-02-12,10.620000,10.620000,10.620000,10.620000,10.456532,0
2020-02-13,10.620000,10.620000,10.620000,10.620000,10.456532,0
2020-02-14,10.630000,10.630000,10.630000,10.630000,10.466377,0
2020-02-18,10.630000,10.630000,10.630000,10.630000,10.466377,0
2020-02-19,10.630000,10.630000,10.630000,10.630000,10.466377,0
2020-02-20,10.640000,10.640000,10.640000,10.640000,10.476227,0
2020-02-21,10.650000,10.650000,10.650000,10.650000,10.486069,0
2020-02-24,10.680000,10.680000,10.680000,10.680000,10.515611,0
2020-02-25,10.680000,10.680000,10.680000,10.680000,10.515611,0
2020-02-26,10.690000,10.690000,10.690000,10.690000,10.525454,0
2020-02-27,10.710000,10.710000,10.710000,10.710000,10.545147,0
2020-02-28,10.740000,10.740000,10.740000,10.740000,10.591497,0
2020-03-02,10.740000,10.740000,10.740000,10.740000,10.591497,0
2020-03-03,10.790000,10.790000,10.790000,10.790000,10.640806,0
2020-03-04,10.800000,10.800000,10.800000,10.800000,10.650668,0
2020-03-05,10.820000,10.820000,10.820000,10.820000,10.670390,0
2020-03-06,10.820000,10.820000,10.820000,10.820000,10.670390,0
2020-03-09,10.820000,10.820000,10.820000,10.820000,10.670390,0
2020-03-10,10.770000,10.770000,10.770000,10.770000,10.621084,0
2020-03-11,10.760000,10.760000,10.760000,10.760000,10.611220,0
2020-03-12,10.730000,10.730000,10.730000,10.730000,10.581636,0
2020-03-13,10.710000,10.710000,10.710000,10.710000,10.561912,0
2020-03-16,10.740000,10.740000,10.740000,10.740000,10.591497,0
2020-03-17,10.680000,10.680000,10.680000,10.680000,10.532327,0
2020-03-18,10.630000,10.630000,10.630000,10.630000,10.483019,0
2020-03-19,10.610000,10.610000,10.610000,10.610000,10.463293,0
2020-03-20,10.640000,10.640000,10.640000,10.640000,10.492880,0
2020-03-23,10.650000,10.650000,10.650000,10.650000,10.502741,0
2020-03-24,10.630000,10.630000,10.630000,10.630000,10.483019,0
2020-03-25,10.660000,10.660000,10.660000,10.660000,10.512605,0
2020-03-26,10.690000,10.690000,10.690000,10.690000,10.542189,0
2020-03-27,10.720000,10.720000,10.720000,10.720000,10.571774,0
2020-03-30,10.730000,10.730000,10.730000,10.730000,10.581636,0
2020-03-31,10.750000,10.750000,10.750000,10.750000,10.619173,0
2020-04-01,10.750000,10.750000,10.750000,10.750000,10.619173,0
2020-04-02,10.750000,10.750000,10.750000,10.750000,10.619173,0
2020-04-03,10.750000,10.750000,10.750000,10.750000,10.619173,0
2020-04-06,10.740000,10.740000,10.740000,10.740000,10.609296,0
2020-04-07,10.740000,10.740000,10.740000,10.740000,10.609296,0
2020-04-08,10.750000,10.750000,10.750000,10.750000,10.619173,0
2020-04-09,10.780000,10.780000,10.780000,10.780000,10.648808,0
2020-04-13,10.790000,10.790000,10.790000,10.790000,10.658687,0
2020-04-14,10.810000,10.810000,10.810000,10.810000,10.678444,0
2020-04-15,10.820000,10.820000,10.820000,10.820000,10.688321,0
2020-04-16,10.820000,10.820000,10.820000,10.820000,10.688321,0
2020-04-17,10.820000,10.820000,10.820000,10.820000,10.688321,0
2020-04-20,10.820000,10.820000,10.820000,10.820000,10.688321,0
2020-04-21,10.820000,10.820000,10.820000,10.820000,10.688321,0
2020-04-22,10.810000,10.810000,10.810000,10.810000,10.678444,0
2020-04-23,10.810000,10.810000,10.810000,10.810000,10.678444,0
2020-04-24,10.810000,10.810000,10.810000,10.810000,10.678444,0
2020-04-27,10.810000,10.810000,10.810000,10.810000,10.678444,0
2020-04-28,10.820000,10.820000,10.820000,10.820000,10.688321,0
2020-04-29,10.820000,10.820000,10.820000,10.820000,10.688321,0
2020-04-30,10.820000,10.820000,10.820000,10.820000,10.705140,0
2020-05-01,10.820000,10.820000,10.820000,10.820000,10.705140,0
2020-05-04,10.820000,10.820000,10.820000,10.820000,10.705140,0
2020-05-05,10.820000,10.820000,10.820000,10.820000,10.705140,0
2020-05-06,10.820000,10.820000,10.820000,10.820000,10.705140,0
2020-05-07,10.840000,10.840000,10.840000,10.840000,10.724930,0
2020-05-08,10.830000,10.830000,10.830000,10.830000,10.715034,0
2020-05-11,10.830000,10.830000,10.830000,10.830000,10.715034,0
2020-05-12,10.830000,10.830000,10.830000,10.830000,10.715034,0
2020-05-13,10.840000,10.840000,10.840000,10.840000,10.724930,0
2020-05-14,10.840000,10.840000,10.840000,10.840000,10.724930,0
2020-05-15,10.840000,10.840000,10.840000,10.840000,10.724930,0
2020-05-18,10.830000,10.830000,10.830000,10.830000,10.715034,0
2020-05-19,10.840000,10.840000,10.840000,10.840000,10.724930,0
2020-05-20,10.840000,10.840000,10.840000,10.840000,10.724930,0
2020-05-21,10.850000,10.850000,10.850000,10.850000,10.734822,0
2020-05-22,10.850000,10.850000,10.850000,10.850000,10.734822,0
2020-05-26,10.850000,10.850000,10.850000,10.850000,10.734822,0
2020-05-27,10.850000,10.850000,10.850000,10.850000,10.734822,0
2020-05-28,10.860000,10.860000,10.860000,10.860000,10.744716,0
2020-05-29,10.860000,10.860000,10.860000,10.860000,10.761562,0
2020-06-01,10.870000,10.870000,10.870000,10.870000,10.771471,0
2020-06-02,10.870000,10.870000,10.870000,10.870000,10.771471,0
2020-06-03,10.860000,10.860000,10.860000,10.860000,10.761562,0
2020-06-04,10.860000,10.860000,10.860000,10.860000,10.761562,0
2020-06-05,10.850000,10.850000,10.850000,10.850000,10.751654,0
2020-06-08,10.850000,10.850000,10.850000,10.850000,10.751654,0
2020-06-09,10.860000,10.860000,10.860000,10.860000,10.761562,0
2020-06-10,10.880000,10.880000,10.880000,10.880000,10.781381,0
2020-06-11,10.870000,10.870000,10.870000,10.870000,10.771471,0
2020-06-12,10.870000,10.870000,10.870000,10.870000,10.771471,0
2020-06-15,10.870000,10.870000,10.870000,10.870000,10.771471,0
2020-06-16,10.870000,10.870000,10.870000,10.870000,10.771471,0
2020-06-17,10.880000,10.880000,10.880000,10.880000,10.781381,0
2020-06-18,10.880000,10.880000,10.880000,10.880000,10.781381,0
2020-06-19,10.880000,10.880000,10.880000,10.880000,10.781381,0
2020-06-22,10.880000,10.880000,10.880000,10.880000,10.781381,0
2020-06-23,10.880000,10.880000,10.880000,10.880000,10.781381,0
2020-06-24,10.880000,10.880000,10.880000,10.880000,10.781381,0
2020-06-25,10.880000,10.880000,10.880000,10.880000,10.781381,0
2020-06-26,10.880000,10.880000,10.880000,10.880000,10.781381,0
2020-06-29,10.890000,10.890000,10.890000,10.890000,10.791291,0
