Date,Open,High,Low,Close,Adj Close,Volume
2019-12-31,15.180000,15.180000,15.180000,15.180000,14.320233,0
2020-01-02,15.300000,15.300000,15.300000,15.300000,14.433437,0
2020-01-03,15.470000,15.470000,15.470000,15.470000,14.593809,0
2020-01-06,15.380000,15.380000,15.380000,15.380000,14.508907,0
2020-01-07,15.320000,15.320000,15.320000,15.320000,14.452305,0
2020-01-08,15.240000,15.240000,15.240000,15.240000,14.376834,0
2020-01-09,15.280000,15.280000,15.280000,15.280000,14.414571,0
2020-01-10,15.390000,15.390000,15.390000,15.390000,14.518340,0
2020-01-13,15.360000,15.360000,15.360000,15.360000,14.490040,0
2020-01-14,15.410000,15.410000,15.410000,15.410000,14.537207,0
2020-01-15,15.490000,15.490000,15.490000,15.490000,14.612676,0
2020-01-16,15.460000,15.460000,15.460000,15.460000,14.584375,0
2020-01-17,15.400000,15.400000,15.400000,15.400000,14.527771,0
2020-01-21,15.530000,15.530000,15.530000,15.530000,14.650411,0
2020-01-22,15.580000,15.580000,15.580000,15.580000,14.697579,0
2020-01-23,15.650000,15.650000,15.650000,15.650000,14.763614,0
2020-01-24,15.740000,15.740000,15.740000,15.740000,14.848516,0
2020-01-27,15.910000,15.910000,15.910000,15.910000,15.008886,0
2020-01-28,15.800000,15.800000,15.800000,15.800000,14.905119,0
2020-01-29,15.930000,15.930000,15.930000,15.930000,15.027756,0
2020-01-30,15.900000,15.900000,15.900000,15.900000,14.999454,0
2020-01-31,16.010000,16.010000,16.010000,16.010000,15.145137,0
2020-02-03,15.990000,15.990000,15.990000,15.990000,15.126215,0
2020-02-04,15.830000,15.830000,15.830000,15.830000,14.974858,0
2020-02-05,15.710000,15.710000,15.710000,15.710000,14.861342,0
2020-02-06,15.780000,15.780000,15.780000,15.780000,14.927561,0
2020-02-07,15.930000,15.930000,15.930000,15.930000,15.069458,0
2020-02-10,15.960000,15.960000,15.960000,15.960000,15.097836,0
2020-02-11,15.900000,15.900000,15.900000,15.900000,15.041078,0
2020-02-12,15.850000,15.850000,15.850000,15.850000,14.993778,0
2020-02-13,15.890000,15.890000,15.890000,15.890000,15.031618,0
2020-02-14,15.950000,15.950000,15.950000,15.950000,15.088377,0
2020-02-18,16.030001,16.030001,16.030001,16.030001,15.164054,0
2020-02-19,16.030001,16.030001,16.030001,16.030001,15.164054,0
2020-02-20,16.120001,16.120001,16.120001,16.120001,15.249195,0
2020-02-21,16.219999,16.219999,16.219999,16.219999,15.343789,0
2020-02-24,16.379999,16.379999,16.379999,16.379999,15.495147,0
2020-02-25,16.420000,16.420000,16.420000,16.420000,15.532989,0
2020-02-26,16.320000,16.320000,16.320000,16.320000,15.438388,0
2020-02-27,16.389999,16.389999,16.389999,16.389999,15.504607,0
2020-02-28,16.580000,16.580000,16.580000,16.580000,15.722719,0
2020-03-02,16.469999,16.469999,16.469999,16.469999,15.618402,0
2020-03-03,16.719999,16.719999,16.719999,16.719999,15.855476,0
2020-03-04,16.600000,16.600000,16.600000,16.600000,15.741680,0
2020-03-05,16.879999,16.879999,16.879999,16.879999,16.007200,0
2020-03-06,17.379999,17.379999,17.379999,17.379999,16.481352,0
2020-03-09,17.360001,17.360001,17.360001,17.360001,16.462387,0
2020-03-10,16.760000,16.760000,16.760000,16.760000,15.893412,0
2020-03-11,16.469999,16.469999,16.469999,16.469999,15.618402,0
2020-03-12,15.940000,15.940000,15.940000,15.940000,15.115808,0
2020-03-13,15.700000,15.700000,15.700000,15.700000,14.888218,0
2020-03-16,16.100000,16.100000,16.100000,16.100000,15.267534,0
2020-03-17,15.250000,15.250000,15.250000,15.250000,14.461486,0
2020-03-18,14.540000,14.540000,14.540000,14.540000,13.788195,0
2020-03-19,14.290000,14.290000,14.290000,14.290000,13.551122,0
2020-03-20,14.900000,14.900000,14.900000,14.900000,14.129581,0
2020-03-23,15.260000,15.260000,15.260000,15.260000,14.470968,0
2020-03-24,15.220000,15.220000,15.220000,15.220000,14.433036,0
2020-03-25,15.350000,15.350000,15.350000,15.350000,14.556314,0
2020-03-26,15.630000,15.630000,15.630000,15.630000,14.821836,0
2020-03-27,16.010000,16.010000,16.010000,16.010000,15.182190,0
2020-03-30,15.990000,15.990000,15.990000,15.990000,15.163221,0
2020-03-31,15.970000,15.970000,15.970000,15.970000,15.227105,0
2020-04-01,16.090000,16.090000,16.090000,16.090000,15.341521,0
2020-04-02,16.100000,16.100000,16.100000,16.100000,15.351057,0
2020-04-03,16.110001,16.110001,16.110001,16.110001,15.360595,0
2020-04-06,16.070000,16.070000,16.070000,16.070000,15.322454,0
2020-04-07,16.080000,16.080000,16.080000,16.080000,15.331988,0
2020-04-08,16.030001,16.030001,16.030001,16.030001,15.284314,0
2020-04-09,16.309999,16.309999,16.309999,16.309999,15.551288,0
2020-04-13,16.370001,16.370001,16.370001,16.370001,15.608499,0
2020-04-14,16.430000,16.430000,16.430000,16.430000,15.665709,0
2020-04-15,16.700001,16.700001,16.700001,16.700001,15.923149,0
2020-04-16,16.820000,16.820000,16.820000,16.820000,16.037565,0
2020-04-17,16.690001,16.690001,16.690001,16.690001,15.913611,0
2020-04-20,16.760000,16.760000,16.760000,16.760000,15.980359,0
2020-04-21,16.860001,16.860001,16.860001,16.860001,16.075705,0
2020-04-22,16.740000,16.740000,16.740000,16.740000,15.961282,0
