"","PP","Maire.PP","Confiance","Nbre_Hab","Etude_Parent1","Categorie_Parent1","Etude_Parent2","Parent2_Categorie","Media_Princ","Ouverture","Satisfaction","Impulsivite","Extraversion","Agreabilite","Anxiete","Pub","Categorie","Revenu","Proprietaire","Type_Habitation","Etude_Nv","Etude_Dom","Sexe","Age","JournalTv","Réseaux","JournalPap","ChaineInfo","Appli","Radio","Internet","Aucun","AxePP.1","AxePP.2","AxePP.3","AxePP.4","AxePP.5","AxePP.6","AxePP.7","AxePP.8","AxePP.9","AxePP.10","AxePP.11","AxePP.12","AxePP.13","AxePP.14","AxePP.15","AxePP.16","AxePP.17","AxePP.18","AxePP.19","Parent1PP.1","Parent1PP.2","Parent1PP.3","Parent1PP.4","Parent1PP.5","Parent1PP.6","Parent1PP.7","Parent1PP.8","Parent1PP.9","Parent1PP.10","Parent1PP.11","Parent1PP.12","Parent1PP.13","Parent1PP.14","Parent1PP.15","Parent1PP.16","Parent1PP.17","Parent1PP.18","Parent1PP.19","Parent2PP.1","Parent2PP.2","Parent2PP.3","Parent2PP.4","Parent2PP.5","Parent2PP.6","Parent2PP.7","Parent2PP.8","Parent2PP.9","Parent2PP.10","Parent2PP.11","Parent2PP.12","Parent2PP.13","Parent2PP.14","Parent2PP.15","Parent2PP.16","Parent2PP.17","Parent2PP.18","Parent2PP.19"
"137",15,5,7,2,7,3,6,3,"16",9,9,7,5,9,5,4,9,1,3,2,4,1,1,2,"1","1","0","0","0","0","0","0",1,0.666666666666667,1,0.6,0,0.263157894736842,1,0,0.157894736842105,1,0,0.8,0.125,0,0.462365591397849,0.222222222222222,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"138",3,2,6,4,7,3,5,1,"3",9,8,5,4,7,8,6,9,2,1,1,5,1,0,2,"1","1","1","0","1","0","0","0",1,1.33333333333333,1.5,1.46666666666667,2,1,1,0,0.578947368421053,1,0,1.6,0.875,0,1.19354838709677,0.777777777777778,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"139",16,5,3,2,2,6,5,5,"13",8,7,9,6,7,2,5,9,1,3,2,3,1,0,2,"1","1","1","0","0","0","0","0",1,1.66666666666667,1.6,1.53333333333333,2,1.47368421052632,1,1,1.10526315789474,1,0,2.2,1.125,0,1.51612903225806,1.11111111111111,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"140",15,10,1,3,5,4,7,6,"10",7,8,6,3,9,2,3,9,2,1,1,3,1,1,1,"1","1","0","0","1","0","0","0",0,0.333333333333333,0.2,0.133333333333333,0,0.578947368421053,0,1,0.684210526315789,0,0,0.6,0.25,0,0.505376344086022,0.777777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"141",15,7,4,2,3,1,3,5,"16",9,8,4,5,7,7,6,9,1,1,1,5,32,0,2,"1","0","0","0","1","0","0","0",0,0.333333333333333,0.1,0.0666666666666667,0,0.473684210526316,0,1,0.526315789473684,0,0,0.6,0.25,0,0.32258064516129,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"142",6,2,7,4,4,2,6,3,"14",8,9,8,4,7,3,6,9,1,1,1,4,1,0,2,"1","1","0","0","0","0","0","0",0,0,0.2,0.0666666666666667,1,0.315789473684211,0,0,0.421052631578947,0,0,0.4,0.625,0,0.268817204301075,0.222222222222222,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"143",15,5,3,2,3,5,4,5,"10",8,4,2,5,8,3,3,9,1,3,2,3,32,1,2,"1","1","0","0","1","0","0","0",0,0.666666666666667,0.7,0.866666666666667,2,0.842105263157895,0,0,0.631578947368421,0,0,0.8,1.625,0,0.838709677419355,0.777777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"144",16,7,4,3,5,4,5,4,"9",7,7,9,8,10,6,5,9,2,1,1,4,1,1,2,"0","1","0","0","1","0","0","0",0,0.333333333333333,0.1,0.0666666666666667,0,0.473684210526316,0,1,0.526315789473684,0,0,0.6,0.25,0,0.32258064516129,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"145",15,5,1,1,1,7,1,5,"16",9,7,8,5,7,7,7,5,7,2,2,2,30,1,5,"1","1","1","0","1","1","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0645161290322581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"146",15,2,5,2,2,5,2,8,"3",7,7,9,8,7,4,3,9,1,1,1,4,8,0,2,"1","1","0","1","1","0","0","0",0,0.666666666666667,0.3,0.8,1,0.421052631578947,0,0,0,0,0,0.4,0.125,0,0.462365591397849,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
