"","time","close","Rd"
"7",2003-04-22,11.6031,2.15852426953571
"12",2003-04-29,11.749765,1.25609366011528
"17",2003-05-06,12.038649,2.42889838922493
"22",2003-05-13,12.149758,0.918702761030987
"27",2003-05-20,11.891984,-2.14446922000926
"31",2003-05-27,12.567526,5.52516257181486
"36",2003-06-03,12.779744,1.67452320390749
"41",2003-06-10,13.099737,2.47307362198401
"46",2003-06-17,13.621951,3.90903820206594
"51",2003-06-24,13.140848,-3.59569889475879
"56",2003-07-01,13.466397,2.44719246032545
"60",2003-07-08,14.20416,5.33374081039311
"65",2003-07-15,14.105273,-0.698618034458542
"70",2003-07-22,13.910833,-1.38808099882106
"75",2003-07-29,14.114162,1.45108013607516
"80",2003-08-05,13.895278,-1.56296202867487
"85",2003-08-12,14.144162,1.77528892584458
"90",2003-08-19,14.767482,4.31256418560664
"95",2003-08-26,14.816371,0.330511678140466
"99",2003-09-02,15.42747,4.04169685446334
"104",2003-09-09,15.610799,1.18132317234489
"109",2003-09-16,15.527467,-0.535239816772837
"114",2003-09-23,15.349692,-1.15151115021113
"119",2003-09-30,15.10303,-1.62000227427614
"124",2003-10-07,15.921904,5.28003853123598
"129",2003-10-14,16.440782,3.20691841518226
"134",2003-10-21,16.709666,1.62223989696804
"139",2003-10-28,16.545225,-0.98898138206085
"144",2003-11-04,16.929661,2.29696317620589
"149",2003-11-11,16.403005,-3.16026225652797
"154",2003-11-18,16.444116,0.250317350286977
"159",2003-11-25,16.49967,0.337265745107151
"163",2003-12-02,17.2041,4.18073467997853
"168",2003-12-09,16.956328,-1.45066300180736
"173",2003-12-16,17.216322,1.52167898478202
"178",2003-12-23,17.547426,1.90493851525373
"182",2003-12-30,18.00075,2.55061512061987
"186",2004-01-06,19.055174,5.6925242050891
"191",2004-01-13,19.011842,-0.227661756917152
"195",2004-01-20,19.277392,1.38709621465645
"200",2004-01-27,19.251837,-0.132652557087853
"205",2004-02-03,18.555184,-3.68572738242472
"210",2004-02-10,19.056284,2.66477050164164
"214",2004-02-17,19.74405,3.54552641903072
"219",2004-02-24,18.821845,-4.78340167760911
"224",2004-03-02,19.677385,4.44518434204566
"229",2004-03-09,19.444056,-1.19285875341553
"234",2004-03-16,18.621851,-4.32057430993624
"239",2004-03-23,18.624072,0.011926137540641
"244",2004-03-30,19.260727,3.36132147617874
"249",2004-04-06,20.105153,4.29079980848099
"253",2004-04-13,19.96849,-0.68206192187783
"258",2004-04-20,19.516275,-2.29067982921869
"263",2004-04-27,19.130727,-1.99529469900726
"268",2004-05-04,18.112971,-5.46674744170095
"273",2004-05-11,17.032993,-6.14760835380768
"278",2004-05-18,16.356341,-4.05365770080985
"283",2004-05-25,17.624092,7.46511787374415
"287",2004-06-01,17.670757,0.26442967466056
"292",2004-06-08,17.886309,1.21244334692534
"296",2004-06-15,17.15299,-4.18630574174919
"301",2004-06-22,17.168546,0.0906486298586362
"306",2004-06-29,17.705203,3.07795624480898
"310",2004-07-06,17.542982,-0.920456728955088
"315",2004-07-13,17.646315,0.587299581540446
"320",2004-07-20,17.625203,-0.119711334914907
"325",2004-07-27,17.286321,-1.94143712634802
"330",2004-08-03,17.238543,-0.276774619589837
"335",2004-08-10,17.355208,0.674488535753515
"340",2004-08-17,17.376319,0.121566797796735
"345",2004-08-24,17.73298,2.03178804303334
"350",2004-08-31,17.916308,1.02851768656791
"354",2004-09-07,18.23297,1.75201341527895
"359",2004-09-14,18.612961,2.06266723168449
"364",2004-09-21,19.105173,2.61009700747405
"369",2004-09-28,18.966287,-0.729610138988246
"374",2004-10-05,19.719606,3.89503345697388
"379",2004-10-12,19.424057,-1.51010198720822
"384",2004-10-19,19.261837,-0.838656854121211
"389",2004-10-26,19.399613,0.712733657112752
"394",2004-11-02,19.904046,2.56699102306452
"399",2004-11-09,20.476256,2.83429433117188
"404",2004-11-16,20.861804,1.86539561781998
"409",2004-11-23,21.185132,1.53796877455421
