"","Brent2[-1, 1]","Rd_Long_Tot","Rd_Long_NoProd","Rd_Short_Tot","Rd_Short_NoProd","Rd_Net","Rd_Net_NoProd","Rd_Merc_Long","Rd_Merc_Short","Rd_Swap_Long","Rd_Swap_Short","Rd_Money_Long","Rd_Money_Short","Rd_Other_Long","Rd_Other_Short"
"446","2019-03-05",-3.93109582791258,-7.17795489585953,-4.68755880022389,-0.712729888020114,1053,-6598,5.6341823484944,-12.6328026687295,-1.57297082202295,-27.4124540889728,3.40671488609079,-44.3519640371262,-18.3836896730327,2.65646148358076
"447","2019-02-26",3.04142385773805,6.43310824364089,4.59977322164153,-0.284296170250187,-2152,6723,-6.98026053844618,14.2355362594335,8.79194562863965,-90.7353427388305,3.10844621523341,12.7033051339115,3.13054455933521,-0.104203680240111
"448","2019-02-19",-3.87559227718111,-0.540985717791465,-5.18109768945081,-6.13178468388167,1820,4788,-15.2127573137111,-3.45950366412993,-4.53553884867048,-213.716901033512,13.163852815627,-48.6634350804646,2.76046090626014,-3.57842153740915
"449","2019-02-12",-6.27476456081855,-8.74773247194316,-5.54598171351266,-5.3504407607484,-878,-4241,2.28895883367155,-5.89634381679129,-3.97357148073407,30.7966743623287,-44.8566018544792,19.6814954536292,-8.44299775116291,-6.46179293255802
"450","2019-02-05",-3.75384505217813,-4.16756206208611,-2.79382734639579,0.315102108361387,-1110,-4114,-2.40958611005961,-8.63453518821373,0.480229164237578,-18.4734103199339,-46.8439108420215,-12.3684340336245,-5.75349347362568,0.915332231095967
"451","2019-01-29",3.22915675203497,5.61806451329847,1.98355903446057,3.91881902461506,1471,2029,-4.8775964263152,-1.93165257597858,-0.891404439378007,338.806809022036,26.5422370826313,1.94821087656845,14.0270750954818,1.51357025935521
"452","2019-01-22",7.30866104764516,10.3667930558027,6.07153881480809,2.09784251194591,1563,8710,-4.46686558466372,13.8748795764212,1.67500400799412,9.16100217811326,4.90790616547709,16.0617449336049,23.639029063864,1.25771841488209
"453","2019-01-15",2.69813366171707,2.18445252643562,2.56777508002202,4.28596103967092,192,-1389,4.80177454206707,-0.694077045794295,-1.19812629150911,15.8670533465225,21.2125188521428,42.2839417524182,3.9198896954753,1.59434285224425
"454","2019-01-08",0.560604244767937,4.55093483705955,3.31468911666519,0.214028465675753,-3785,4875,-17.4181804881718,9.08720981785311,-2.10424561525926,-94.293837930033,57.9191225904639,33.8575734164767,2.23075220774582,-0.798377555105034
"455","2020-12-29",-39.6417252809794,-40.0908892393096,-39.6387760401023,-53.7379520170802,982,-471,-37.4102704824821,-18.5948685914319,7.05652387303317,-179.371833371339,-107.738468229447,-8.20121426885496,-127.968438634083,-59.0817190714331
"456","2020-12-21",0.810283149645485,1.30925172562399,-0.843236671171965,-0.0920016165176563,1535,1053,-1.67232313197427,-1.79281396584621,-2.11882099544312,8.99482366629396,34.4695764003211,-23.5748286144558,4.40447798086083,3.4995406311138
"457","2020-12-15",0.520444467430181,-3.60795958496158,1.42972369013439,4.65330899742789,-857,-5222,19.106376243279,-2.83643658904076,-3.65159260191472,-6.66913744986726,-4.52989019279606,8.78355844122698,-3.040699272767,4.12778057280043
"458","2020-12-08",-3.18183845687177,-0.608338237641348,-4.08568659561173,-2.42515845303615,865,857,-14.264406145554,-6.41311901805697,-3.3485677621524,113.621070222512,-0.738283161446596,28.0674962156352,10.2609857516867,-8.4287512594269
"459","2020-12-01",1.05067792137827,1.99283531148033,2.24784961808009,0.506926889205239,-1108,1220,-3.41420880730059,4.68563614600637,3.15150218305114,116.118855373656,19.0378428692526,-12.535765618526,-9.83058526849767,0.300437225256545
"460","2020-11-24",9.65220986493716,7.50688270766808,7.78382562502813,7.088553459816,1728,1954,19.4872147353999,8.72949285494098,7.82865191443634,54.0199320286399,5.35189933227205,5.9142086259806,7.20122186531409,4.91775174155453
"461","2020-11-17",-5.04568066953226,-6.07604388886962,-4.64301804823375,-8.16721138807637,-391,-290,-0.713110360566205,-0.0774093703986622,-7.94169189417619,-67.282330926029,14.3749010174439,-10.5880172695883,-9.27194140797489,-4.92002439135071
"462","2020-11-10",2.32751797230097,0.695508019934543,1.16536047961393,6.48272855520169,1125,-3016,8.74429935784171,-5.8713931335431,0.460330925100116,-16.8434264305583,2.262371196076,12.0755201535141,0.735748260729707,6.2183531056192
"463","2020-11-03",-2.86049934973569,0.183792650849313,-1.41558439818361,-4.43111607385198,-1393,2594,-15.2765130072204,2.68123108057239,-1.35297663161662,-8.3822937685202,8.80658028603563,-9.03026580737034,1.10112362887875,-3.51660705975227
"464","2020-10-27",11.1561211074044,11.3134235710751,11.1591911839694,5.96948651336398,-65,5934,10.4596255612528,17.579531634499,5.08013790468596,123.514567899116,14.9816192977182,3.55593020364875,31.7608889922459,0.388572926768127
"465","2020-10-20",7.61792736731692,9.55883431929934,7.22484867368021,-6.35456520822348,405,12223,-1.50036442714061,21.0476533953146,9.12906113688727,-151.887406089311,24.5278312145427,-8.96121586896879,1.44625545913719,0.689521605804089
"466","2020-10-13",7.16957196712613,7.79665267114282,7.35078190125282,-1.10417982798161,-237,8318,3.99542286290746,14.2998758972878,5.61897494858634,-27.1651906266615,7.18797794555446,6.38303692563316,15.3639681743996,-1.9088596562522
"467","2020-10-06",7.16776592303479,2.82647173184412,6.858595849992,5.66550269108124,378,-155,26.9856603783316,7.75697359800667,7.69192234535154,56.4674820647817,4.98882295693175,6.57699991465925,-15.847362646905,4.50102138139403
"468","2020-09-29",0.471218107610838,5.09988002922945,1.15334243151057,2.25173568044053,-909,4259,-20.8425052935791,0.326961398726944,7.97008629682434,-101.708268800317,5.60577352258225,-6.55139827601463,-7.61077003205628,5.34138267954933
"469","2020-09-22",-2.24137856933879,-3.74909716777818,-2.52322686732676,-5.88804063899993,389,-803,5.32413744513942,-0.0408117596192525,-2.31945481955389,-5.49720232450133,-4.19941182222043,1.39809089684988,-10.1965258583041,-7.09237925404906
"470","2020-09-15",-2.52243696746923,-0.305864818777302,-3.07071733845383,-3.00167104912408,709,1281,-13.8956175631154,-3.12021728250116,0.909773656690405,12.6751705639144,-3.92816058669574,-5.40672212702766,-2.96459831934719,-2.74333338195287
"471","2020-09-08",2.25859271387083,2.84048540146671,2.80339706342581,4.13286555328511,-703,857,-1.00052407611617,1.83871762547696,0.299715302086412,-613.556489108174,-7.74016971699183,-3.45633103233727,23.3994531584507,6.36180574936525
